species,lambda0_ang,sigma_lambda0_ang,q_cm-1,sigma_q_cm-1,lambda0_source,join_flag,nist_wavelength_ang,lower_level,upper_level,Aki_s-1,fik,q_cm1,line_id,lambda0_unc_ang
Fe V,1300.6095,0.004,1776,,Hu2021_table,OK,1300.608,3d3.(4P).4s 5P J=3,3d3.(4P).4p 5S* J=2,1200000000.0,0.042,1776,line_0089,0.004
Fe V,1300.845,0.004,3149,,Hu2021_table,OK,1300.846,3d3.(2D1).4s 3D J=1,3d3.(2D1).4p 3P* J=0,1160000000.0,0.098,3149,line_0090,0.004
Ni V,1300.981,0.002,3504,,Lee2025_2410.01849,OK,1300.981,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=1,3030000000.0,0.154,3504,line_0091,0.002
Fe V,1303.0834,0.004,2290,,Hu2021_table,OK,1303.081,3d3.(4F).4s 5F J=3,3d3.(4F).4p 3G* J=3,60000000.0,0.0022,2290,line_0092,0.004
Fe V,1303.4853,0.004,2375,,Hu2021_table,OK,1303.489,3d3.(4F).4s 5F J=5,3d3.(4F).4p 3G* J=5,680000000.0,0.016,2375,line_0093,0.004
Fe V,1304.814,0.004,2979,,Hu2021_table,OK,1304.816,3d3.(2D1).4s 3D J=2,3d3.(2D1).4p 3P* J=1,2300000000.0,0.117,2979,line_0094,0.004
Fe V,1305.9674,0.004,3143,,Hu2021_table,OK,1305.971,3d3.(4P).4s 3P J=1,3d3.(2D2).4p 3D* J=2,400000000.0,0.034,3143,line_0095,0.004
Fe V,1306.0803,0.004,2541,,Hu2021_table,OK,1306.08,3d3.(2G).4s 1G J=4,3d3.(2H).4p 1H* J=5,2400000000.0,0.069,2541,line_0096,0.004
Fe V,1307.219,0.004,2862,,Hu2021_table,OK,1307.219,3d3.(2D1).4s 3D J=1,3d3.(2D1).4p 3P* J=1,1100000000.0,0.096,2862,line_0097,0.004
Fe V,1307.4242,0.004,2311,,Hu2021_table,OK,1307.424,3d3.(2P).4s 1P J=1,3d3.(2P).4p 1P* J=1,2500000000.0,0.22,2311,line_0098,0.004
Ni V,1307.599,0.002,1384,,Lee2025_2410.01849,OK,1307.599,3d5.(6S).4s 5S J=2,3d5.(6S).4p 5P* J=2,4920000000.0,0.252,1384,line_0099,0.002
Fe V,1310.751,0.004,3286,,Hu2021_table,OK,1310.751,3d3.(2P).4s 3P J=1,3d3.(2D2).4p 3P* J=0,7000000.0,0.0006,3286,line_0100,0.004
Fe V,1311.2378,0.004,2389,,Hu2021_table,OK,1311.239,3d3.(4P).4s 3P J=2,3d3.(2D2).4p 3D* J=3,742000000.0,0.038,2389,line_0101,0.004
Ni V,1311.557,0.002,3747,,Lee2025_2410.01849,OK,1311.559,3d5.(2H).4s 3H J=5,3d5.(2H).4p 3H* J=6,3220000000.0,0.0754,3747,line_0102,0.002
Fe V,1311.829,0.004,1616,,Hu2021_table,OK,1311.828,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 1D* J=2,2200000000.0,0.19,1616,line_0103,0.004
