species,wavelength_vac_ang,wavelength_unc_ang,lower_level,upper_level,Aki_s-1,fik,nist_source,q_cm-1,q_source,wl_match_ang,f_q,gamma_s-1
Fe V,1557.0510,0.0040,3d3.(4P).4s 3P J=0,3d3.(4P).4p 3P* J=1,2.6e+08,9.5e-02,NIST_ASD_v5.12;L3625;T6653c93,3764,Hu_et_al_2021,1557.0542,9.5e-02,2.12E+09
Fe V,1557.3110,0.0040,3d3.(4F).4s 3F J=4,3d3.(4F).4p 5F* J=5,3.1e+08,1.24e-02,NIST_ASD_v5.12;L3625;T6653c93,2299,Hu_et_al_2021,1557.3100,1.2e-02,3.37E+09
Fe V,1557.6450,0.0040,3d3.(2P).4s 1P J=1,3d3.(2D2).4p 3P* J=2,1.6e+08,1.9e-02,NIST_ASD_v5.12;L3625;T6653c93,1901,Hu_et_al_2021,1557.6467,1.9e-02,4.67E+09
Fe V,1558.1140,0.0040,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5F* J=2,3.e+07,2.3e-03,NIST_ASD_v5.12;L3625;T6653c93,3389,Hu_et_al_2021,1558.1217,2.3e-03,6.02E+09
Fe V,1561.9780,0.0040,3d3.(4F).4s 3F J=3,3d3.(4F).4p 5F* J=3,1.8e+07,9.e-04,NIST_ASD_v5.12;L3625;T6653c93,3532,Hu_et_al_2021,1561.9670,9.0e-04,4.95E+09
Fe V,1563.7780,0.0040,3d3.(4P).4s 3P J=1,3d3.(4P).4p 3P* J=1,1.8e+08,2.2e-02,NIST_ASD_v5.12;L3625;T6653c93,3510,Hu_et_al_2021,1563.7745,2.2e-02,2.12E+09
Fe V,1563.9340,0.0040,3d3.(4P).4s 3P J=1,3d3.(4P).4p 5D* J=2,1.4e+08,1.8e-02,NIST_ASD_v5.12;L3625;T6653c93,3000,Hu_et_al_2021,1563.9391,1.8e-02,1.85E+09
Fe V,1568.4070,0.0040,3d3.(2G).4s 1G J=4,3d3.(2G).4p 3H* J=5,1.e+08,4.2e-03,NIST_ASD_v5.12;L3625;T6653c93,2607,Hu_et_al_2021,1568.4151,4.2e-03,1.68E+09
Fe V,1569.9850,0.0040,3d3.(4F).4s 3F J=2,3d3.(4F).4p 5D* J=1,9.3e+07,6.9e-03,NIST_ASD_v5.12;L3625;T6653c93,2684,Hu_et_al_2021,1569.9810,6.9e-03,7.25E+09
Fe V,1570.2210,0.0170,3d4 3G J=4,3d4 1D1 J=2,1.4e+00,6.0e-11,NIST_ASD_v5.12;T9277,,,,,
